id,genus,family,order
22392,Habenaria,Orchidaceae,Asparagales
22393,Cornus,Cornaceae,Cornales
22394,Eugenia,Myrtaceae,Myrtales
22395,Aeschynomene,Fabaceae,Fabales
22396,Festuca,Poaceae,Poales
22397,Scalesia,Asteraceae,Asterales
22398,Dorstenia,Moraceae,Rosales
22399,Dendrophorbium,Asteraceae,Asterales
22400,Calostephane,Asteraceae,Asterales
22401,Clematis,Ranunculaceae,Ranunculales
22402,Taeniophyllum,Orchidaceae,Asparagales
22403,Senecio,Asteraceae,Asterales
22404,Ochna,Ochnaceae,Malpighiales
22405,Dianella,Asphodelaceae,Asparagales
22406,Habenaria,Orchidaceae,Asparagales
22407,Pedicularis,Orobanchaceae,Lamiales
22408,Pfaffia,Amaranthaceae,Caryophyllales
22409,Asplenium,Aspleniaceae,Polypodiales
22410,Manilkara,Sapotaceae,Ericales
22411,Adelobotrys,Melastomataceae,Myrtales
22412,Tabebuia,Bignoniaceae,Lamiales
22413,Lithocarpus,Fagaceae,Fagales
22414,Philodendron,Araceae,Alismatales
22415,Acacia,Fabaceae,Fabales
22416,Ficus,Moraceae,Rosales
22417,Euphorbia,Euphorbiaceae,Malpighiales
22418,Pelargonium,Geraniaceae,Geraniales
22419,Randia,Rubiaceae,Gentianales
22420,Begonia,Begoniaceae,Cucurbitales
22421,Lactuca,Asteraceae,Asterales
22422,Odontochilus,Orchidaceae,Asparagales
22423,Endiandra,Lauraceae,Laurales
22424,Thryptomene,Myrtaceae,Myrtales
22425,Oocephala,Asteraceae,Asterales
22426,Primulina,Gesneriaceae,Lamiales
22427,Acacia,Fabaceae,Fabales
22428,Maerua,Capparaceae,Brassicales
22429,Penstemon,Plantaginaceae,Lamiales
22430,Calystegia,Convolvulaceae,Solanales
22431,Fontainea,Euphorbiaceae,Malpighiales
22432,Vaccinium,Ericaceae,Ericales
22433,Peritassa,Celastraceae,Celastrales
22434,Bridelia,Phyllanthaceae,Malpighiales
22435,Serapias,Orchidaceae,Asparagales
22436,Paepalanthus,Eriocaulaceae,Poales
22437,Hedyosmum,Chloranthaceae,Chloranthales
22438,Nectandra,Lauraceae,Laurales
22439,Rumex,Polygonaceae,Caryophyllales
22440,Phylica,Rhamnaceae,Rosales
22441,Zonotriche,Poaceae,Poales
22442,Ficus,Moraceae,Rosales
22443,Mimosa,Fabaceae,Fabales
22444,Disa,Orchidaceae,Asparagales
22445,Chenopodium,Amaranthaceae,Caryophyllales
22446,Iris,Iridaceae,Asparagales
22447,Paullinia,Sapindaceae,Sapindales
22448,Ribes,Grossulariaceae,Saxifragales
22449,Acmadenia,Rutaceae,Sapindales
22450,Ctenitis,Dryopteridaceae,Polypodiales
22451,Lecointea,Fabaceae,Fabales
22452,Berkheya,Asteraceae,Asterales
22453,Hyparrhenia,Poaceae,Poales
22454,Croton,Euphorbiaceae,Malpighiales
22455,Passiflora,Passifloraceae,Malpighiales
22456,Nepeta,Lamiaceae,Lamiales
22457,Barleria,Acanthaceae,Lamiales
22458,Renealmia,Zingiberaceae,Zingiberales
22459,Ambrosia,Asteraceae,Asterales
22460,Nectandra,Lauraceae,Laurales
22461,Piper,Piperaceae,Piperales
22462,Solanum,Solanaceae,Solanales
22463,Prosthechea,Orchidaceae,Asparagales
22464,Syzygium,Myrtaceae,Myrtales
22465,Vaccinium,Ericaceae,Ericales
22466,Pitcairnia,Bromeliaceae,Poales
22467,Boronia,Rutaceae,Sapindales
22468,Cynorkis,Orchidaceae,Asparagales
22469,Gnidia,Thymelaeaceae,Malvales
22470,Stylidium,Stylidiaceae,Asterales
22471,Mimosa,Fabaceae,Fabales
22472,Baccharis,Asteraceae,Asterales
22473,Rhododendron,Ericaceae,Ericales
22474,Galium,Rubiaceae,Gentianales
22475,Dendrobium,Orchidaceae,Asparagales
22476,Galeola,Orchidaceae,Asparagales
22477,Saurauia,Actinidiaceae,Ericales
22478,Photinia,Rosaceae,Rosales
22479,Bletia,Orchidaceae,Asparagales
22480,Justicia,Acanthaceae,Lamiales
22481,Arenaria,Caryophyllaceae,Caryophyllales
22482,Ilex,Aquifoliaceae,Aquifoliales
22483,Alzatea,Alzateaceae,Myrtales
22484,Cistus,Cistaceae,Malvales
22485,Carex,Cyperaceae,Poales
22486,Kalanchoe,Crassulaceae,Saxifragales
22487,Neolitsea,Lauraceae,Laurales
22488,Acacia,Fabaceae,Fabales
22489,Bulbophyllum,Orchidaceae,Asparagales
22490,Magnolia,Magnoliaceae,Magnoliales
22491,Cotyledon,Crassulaceae,Saxifragales
22492,Qualea,Vochysiaceae,Myrtales
22493,Quercus,Fagaceae,Fagales
22494,Pterostylis,Orchidaceae,Asparagales
22495,Calceolaria,Calceolariaceae,Lamiales
22496,Haniffia,Zingiberaceae,Zingiberales
