id,genus,family,order
1,Indigofera,Fabaceae,Fabales
2,Ruellia,Acanthaceae,Lamiales
3,Quesnelia,Bromeliaceae,Poales
4,Hyobanche,Orobanchaceae,Lamiales
5,Chiangiodendron,Achariaceae,Malpighiales
6,Geonoma,Arecaceae,Arecales
7,Eugenia,Myrtaceae,Myrtales
8,Prunus,Rosaceae,Rosales
9,Sidalcea,Malvaceae,Malvales
10,Leptospermum,Myrtaceae,Myrtales
11,Coelogyne,Orchidaceae,Asparagales
12,Thamnea,Bruniaceae,Bruniales
13,Myrcia,Myrtaceae,Myrtales
14,Carex,Cyperaceae,Poales
15,Leontopodium,Asteraceae,Asterales
16,Viola,Violaceae,Malpighiales
17,Croton,Euphorbiaceae,Malpighiales
18,Moquiniella,Loranthaceae,Santalales
19,Stegolepis,Rapateaceae,Poales
20,Oxytropis,Fabaceae,Fabales
21,Lithocarpus,Fagaceae,Fagales
22,Inga,Fabaceae,Fabales
23,Oncosperma,Arecaceae,Arecales
24,Cephalocereus,Cactaceae,Caryophyllales
25,Terminalia,Combretaceae,Myrtales
26,Anthurium,Araceae,Alismatales
27,Cycas,Cycadaceae,Cycadales
28,Astragalus,Fabaceae,Fabales
29,Dudleya,Crassulaceae,Saxifragales
30,Centaurea,Asteraceae,Asterales
31,Rubia,Rubiaceae,Gentianales
32,Gladiolus,Iridaceae,Asparagales
33,Mouriri,Melastomataceae,Myrtales
34,Rubus,Rosaceae,Rosales
35,Pyrenaria,Theaceae,Ericales
36,Staurogyne,Acanthaceae,Lamiales
37,Draba,Brassicaceae,Brassicales
38,Jacquemontia,Convolvulaceae,Solanales
39,Schizolobium,Fabaceae,Fabales
40,Lithocarpus,Fagaceae,Fagales
41,Canastra,Poaceae,Poales
42,Palicourea,Rubiaceae,Gentianales
43,Cuphea,Lythraceae,Myrtales
44,Digitaria,Poaceae,Poales
45,Sphaeranthus,Asteraceae,Asterales
46,Tinospora,Menispermaceae,Ranunculales
47,Manihot,Euphorbiaceae,Malpighiales
48,Pogostemon,Lamiaceae,Lamiales
49,Psilostrophe,Asteraceae,Asterales
50,Acacia,Fabaceae,Fabales
51,Pseudoconnarus,Connaraceae,Oxalidales
52,Aconitum,Ranunculaceae,Ranunculales
53,Sterculia,Malvaceae,Malvales
54,Persoonia,Proteaceae,Proteales
55,Juncus,Juncaceae,Poales
56,Poa,Poaceae,Poales
57,Corydalis,Papaveraceae,Ranunculales
58,Lysimachia,Primulaceae,Ericales
59,Cotoneaster,Rosaceae,Rosales
60,Anthurium,Araceae,Alismatales
61,Olimarabidopsis,Brassicaceae,Brassicales
62,Lobelia,Campanulaceae,Asterales
63,Puya,Bromeliaceae,Poales
64,Bionia,Fabaceae,Fabales
65,Eremothera,Onagraceae,Myrtales
66,Coprosma,Rubiaceae,Gentianales
67,Jamesbrittenia,Scrophulariaceae,Lamiales
68,Inga,Fabaceae,Fabales
69,Aspilia,Asteraceae,Asterales
70,Paepalanthus,Eriocaulaceae,Poales
71,Cremanthodium,Asteraceae,Asterales
72,Parathesis,Primulaceae,Ericales
73,Solanum,Solanaceae,Solanales
74,Xylopia,Annonaceae,Magnoliales
75,Tectaria,Tectariaceae,Polypodiales
76,Gentiana,Gentianaceae,Gentianales
77,Leucospermum,Proteaceae,Proteales
78,Iris,Iridaceae,Asparagales
79,Senegalia,Fabaceae,Fabales
80,Rubus,Rosaceae,Rosales
81,Lupinus,Fabaceae,Fabales
82,Paspalum,Poaceae,Poales
83,Kniphofia,Asphodelaceae,Asparagales
84,Anacampseros,Anacampserotaceae,Caryophyllales
85,Ronnbergia,Bromeliaceae,Poales
86,Goodenia,Goodeniaceae,Asterales
87,Justicia,Acanthaceae,Lamiales
88,Daphne,Thymelaeaceae,Malvales
89,Acacia,Fabaceae,Fabales
90,Meconopsis,Papaveraceae,Ranunculales
91,Cyphostemma,Vitaceae,Vitales
92,Thesium,Santalaceae,Santalales
93,Lasiacis,Poaceae,Poales
94,Viola,Violaceae,Malpighiales
95,Monsonia,Geraniaceae,Geraniales
96,Tylecodon,Crassulaceae,Saxifragales
97,Drosanthemum,Aizoaceae,Caryophyllales
98,Peperomia,Piperaceae,Piperales
99,Caladenia,Orchidaceae,Asparagales
100,Impatiens,Balsaminaceae,Ericales
101,Rorippa,Brassicaceae,Brassicales
102,Penstemon,Plantaginaceae,Lamiales
103,Ligustrum,Oleaceae,Lamiales
104,Coelogyne,Orchidaceae,Asparagales
105,Rhamnus,Rhamnaceae,Rosales
106,Ceratostylis,Orchidaceae,Asparagales
107,Begonia,Begoniaceae,Cucurbitales
108,Euphorbia,Euphorbiaceae,Malpighiales
109,Glycyrrhiza,Fabaceae,Fabales
110,Solanum,Solanaceae,Solanales
111,Kraussia,Rubiaceae,Gentianales
112,Chamaecrista,Fabaceae,Fabales
113,Centrosema,Fabaceae,Fabales
114,Gentiana,Gentianaceae,Gentianales
115,Clinopodium,Lamiaceae,Lamiales
116,Saxifraga,Saxifragaceae,Saxifragales
117,Eschweilera,Lecythidaceae,Ericales
118,Nemacladus,Campanulaceae,Asterales
119,Stephania,Menispermaceae,Ranunculales
120,Coccocypselum,Rubiaceae,Gentianales
121,Pinalia,Orchidaceae,Asparagales
122,Oxalis,Oxalidaceae,Oxalidales
123,Scleria,Cyperaceae,Poales
124,Hydrocotyle,Araliaceae,Apiales
125,Packera,Asteraceae,Asterales
126,Struthiola,Thymelaeaceae,Malvales
127,Entandrophragma,Meliaceae,Sapindales
128,Annona,Annonaceae,Magnoliales
129,Spigelia,Loganiaceae,Gentianales
130,Illicium,Schisandraceae,Austrobaileyales
131,Penstemon,Plantaginaceae,Lamiales
132,Heteropsis,Araceae,Alismatales
133,Utricularia,Lentibulariaceae,Lamiales
134,Melaleuca,Myrtaceae,Myrtales
135,Impatiens,Balsaminaceae,Ericales
136,Symphyotrichum,Asteraceae,Asterales
137,Aphanactis,Asteraceae,Asterales
138,Lepanthes,Orchidaceae,Asparagales
139,Anthurium,Araceae,Alismatales
140,Coussarea,Rubiaceae,Gentianales
141,Halothamnus,Amaranthaceae,Caryophyllales
142,Tetrastigma,Vitaceae,Vitales
143,Sibiraea,Rosaceae,Rosales
144,Crotalaria,Fabaceae,Fabales
145,Sclerocarpus,Asteraceae,Asterales
146,Orchidantha,Lowiaceae,Zingiberales
147,Aloe,Asphodelaceae,Asparagales
148,Cybianthus,Primulaceae,Ericales
149,Hypoxis,Hypoxidaceae,Asparagales
150,Crinum,Amaryllidaceae,Asparagales
151,Arceuthobium,Santalaceae,Santalales
152,Andropogon,Poaceae,Poales
153,Begonia,Begoniaceae,Cucurbitales
154,Schoenoplectus,Cyperaceae,Poales
155,Cinchona,Rubiaceae,Gentianales
156,Potamogeton,Potamogetonaceae,Alismatales
157,Rhinotropis,Polygalaceae,Fabales
158,Schistidium,Grimmiaceae,Grimmiales
159,Panicum,Poaceae,Poales
160,Dennstaedtia,Dennstaedtiaceae,Polypodiales
161,Solanum,Solanaceae,Solanales
162,Trichilia,Meliaceae,Sapindales
163,Gomesa,Orchidaceae,Asparagales
164,Asarum,Aristolochiaceae,Piperales
165,Persea,Lauraceae,Laurales
166,Paullinia,Sapindaceae,Sapindales
167,Delosperma,Aizoaceae,Caryophyllales
168,Hookeria,Hookeriaceae,Hookeriales
169,Vernonia,Asteraceae,Asterales
170,Aechmea,Bromeliaceae,Poales
171,Lockhartia,Orchidaceae,Asparagales
172,Euphrasia,Orobanchaceae,Lamiales
173,Ipomoea,Convolvulaceae,Solanales
174,Cynometra,Fabaceae,Fabales
175,Lysionotus,Gesneriaceae,Lamiales
176,Mikania,Asteraceae,Asterales
177,Epidendrum,Orchidaceae,Asparagales
178,Festuca,Poaceae,Poales
179,Ardisia,Primulaceae,Ericales
180,Euclea,Ebenaceae,Ericales
181,Pilea,Urticaceae,Rosales
182,Anisotome,Apiaceae,Apiales
183,Stemona,Stemonaceae,Pandanales
184,Faramea,Rubiaceae,Gentianales
185,Dimorphandra,Fabaceae,Fabales
186,Rubus,Rosaceae,Rosales
187,Sloanea,Elaeocarpaceae,Oxalidales
188,Cystopteris,Cystopteridaceae,Polypodiales
189,Carex,Cyperaceae,Poales
190,Agrostis,Poaceae,Poales
191,Silene,Caryophyllaceae,Caryophyllales
192,Oxytropis,Fabaceae,Fabales
193,Aristida,Poaceae,Poales
194,Delostoma,Bignoniaceae,Lamiales
195,Machilus,Lauraceae,Laurales
196,Cinnamomum,Lauraceae,Laurales
197,Sterculia,Malvaceae,Malvales
198,Lasjia,Proteaceae,Proteales
199,Combretum,Combretaceae,Myrtales
200,Oedera,Asteraceae,Asterales
201,Polyscias,Araliaceae,Apiales
202,Pedicularis,Orobanchaceae,Lamiales
203,Asclepias,Apocynaceae,Gentianales
204,Guatteria,Annonaceae,Magnoliales
205,Tanaecium,Bignoniaceae,Lamiales
206,Sisymbrium,Brassicaceae,Brassicales
207,Baccharis,Asteraceae,Asterales
208,Selaginella,Selaginellaceae,Selaginellales
209,Gladiolus,Iridaceae,Asparagales
210,Clematis,Ranunculaceae,Ranunculales
211,Astragalus,Fabaceae,Fabales
212,Schoenus,Cyperaceae,Poales
213,Indigofera,Fabaceae,Fabales
214,Banksia,Proteaceae,Proteales
215,Neopanax,Araliaceae,Apiales
216,Manulea,Scrophulariaceae,Lamiales
217,Valeriana,Caprifoliaceae,Dipsacales
218,Acalypha,Euphorbiaceae,Malpighiales
219,Microdesmia,Chrysobalanaceae,Malpighiales
220,Angraecum,Orchidaceae,Asparagales
221,Clerodendrum,Lamiaceae,Lamiales
222,Dicliptera,Acanthaceae,Lamiales
223,Paepalanthus,Eriocaulaceae,Poales
224,nan,nan,nan
225,Paepalanthus,Eriocaulaceae,Poales
226,Pilea,Urticaceae,Rosales
227,Manilkara,Sapotaceae,Ericales
228,Mimosa,Fabaceae,Fabales
229,Rhabdadenia,Apocynaceae,Gentianales
230,Bulbophyllum,Orchidaceae,Asparagales
231,Rhododendron,Ericaceae,Ericales
232,Anthurium,Araceae,Alismatales
233,Prenanthes,Asteraceae,Asterales
234,Tillandsia,Bromeliaceae,Poales
235,Sida,Malvaceae,Malvales
236,Ammopiptanthus,Fabaceae,Fabales
237,Acunaeanthus,Rubiaceae,Gentianales
238,Brachionidium,Orchidaceae,Asparagales
239,Verbesina,Asteraceae,Asterales
240,Carex,Cyperaceae,Poales
241,Neottia,Orchidaceae,Asparagales
242,Potentilla,Rosaceae,Rosales
243,Puya,Bromeliaceae,Poales
244,Fritillaria,Liliaceae,Liliales
245,Bulbinella,Asphodelaceae,Asparagales
246,Peperomia,Piperaceae,Piperales
247,Thelymitra,Orchidaceae,Asparagales
248,Sporobolus,Poaceae,Poales
249,Homalanthus,Euphorbiaceae,Malpighiales
250,Toxocarpus,Apocynaceae,Gentianales
251,Thalictrum,Ranunculaceae,Ranunculales
252,Thymus,Lamiaceae,Lamiales
253,Herreria,Asparagaceae,Asparagales
254,Schizopepon,Cucurbitaceae,Cucurbitales
255,Impatiens,Balsaminaceae,Ericales
256,Ruschia,Aizoaceae,Caryophyllales
257,Oenothera,Onagraceae,Myrtales
258,Festuca,Poaceae,Poales
259,Asplundia,Cyclanthaceae,Pandanales
260,Bernardia,Euphorbiaceae,Malpighiales
261,Piper,Piperaceae,Piperales
262,Andropogon,Poaceae,Poales
263,Syzygium,Myrtaceae,Myrtales
264,Xyris,Xyridaceae,Poales
265,Buchanania,Anacardiaceae,Sapindales
266,Hunteria,Apocynaceae,Gentianales
267,Melastoma,Melastomataceae,Myrtales
268,Protea,Proteaceae,Proteales
269,Ficus,Moraceae,Rosales
270,Agrostis,Poaceae,Poales
271,Lobelia,Campanulaceae,Asterales
272,Lithops,Aizoaceae,Caryophyllales
273,Perityle,Asteraceae,Asterales
274,Cussonia,Araliaceae,Apiales
275,Dioscorea,Dioscoreaceae,Dioscoreales
276,Pedicularis,Orobanchaceae,Lamiales
277,Vaccinium,Ericaceae,Ericales
278,Gentiana,Gentianaceae,Gentianales
279,Corydalis,Papaveraceae,Ranunculales
280,Lasiocaryum,Boraginaceae,Boraginales
281,Acmadenia,Rutaceae,Sapindales
282,Croton,Euphorbiaceae,Malpighiales
283,Aniseia,Convolvulaceae,Solanales
284,Cryptanthus,Bromeliaceae,Poales
285,Wahlenbergia,Campanulaceae,Asterales
286,Phyllanthus,Phyllanthaceae,Malpighiales
287,Thryptomene,Myrtaceae,Myrtales
288,Anthurium,Araceae,Alismatales
289,Nepeta,Lamiaceae,Lamiales
290,Syngonanthus,Eriocaulaceae,Poales
291,Solanum,Solanaceae,Solanales
292,Carex,Cyperaceae,Poales
293,Bulbophyllum,Orchidaceae,Asparagales
294,Fuirena,Cyperaceae,Poales
295,Machaerium,Fabaceae,Fabales
296,Phoenix,Arecaceae,Arecales
297,Miconia,Melastomataceae,Myrtales
298,Epidendrum,Orchidaceae,Asparagales
299,Micropholis,Sapotaceae,Ericales
300,Pterostylis,Orchidaceae,Asparagales
301,Pittosporum,Pittosporaceae,Apiales
302,Mouriri,Melastomataceae,Myrtales
303,Leiothrix,Eriocaulaceae,Poales
304,Habenaria,Orchidaceae,Asparagales
305,Heuchera,Saxifragaceae,Saxifragales
306,Tillandsia,Bromeliaceae,Poales
307,Senegalia,Fabaceae,Fabales
308,Ilex,Aquifoliaceae,Aquifoliales
309,Sericanthe,Rubiaceae,Gentianales
310,Siphocampylus,Campanulaceae,Asterales
311,Xyris,Xyridaceae,Poales
312,Guatteria,Annonaceae,Magnoliales
313,Cissus,Vitaceae,Vitales
314,Willdenowia,Restionaceae,Poales
315,Gentiana,Gentianaceae,Gentianales
316,Tripogandra,Commelinaceae,Commelinales
317,Begonia,Begoniaceae,Cucurbitales
318,Nautilocalyx,Gesneriaceae,Lamiales
319,Astragalus,Fabaceae,Fabales
320,Salix,Salicaceae,Malpighiales
321,Elaeagnus,Elaeagnaceae,Rosales
322,Gongora,Orchidaceae,Asparagales
323,Barringtonia,Lecythidaceae,Ericales
324,Elatostema,Urticaceae,Rosales
325,Palaquium,Sapotaceae,Ericales
326,Leersia,Poaceae,Poales
327,Cleome,Cleomaceae,Brassicales
328,Macroclinium,Orchidaceae,Asparagales
329,Thalictrum,Ranunculaceae,Ranunculales
330,Poliomintha,Lamiaceae,Lamiales
331,Pedicularis,Orobanchaceae,Lamiales
332,Cucumis,Cucurbitaceae,Cucurbitales
333,Psorothamnus,Fabaceae,Fabales
334,Hermannia,Malvaceae,Malvales
335,Wahlenbergia,Campanulaceae,Asterales
336,Crotalaria,Fabaceae,Fabales
337,Salacia,Celastraceae,Celastrales
338,Terminalia,Combretaceae,Myrtales
339,Euryops,Asteraceae,Asterales
340,Diospyros,Ebenaceae,Ericales
341,Aeranthes,Orchidaceae,Asparagales
342,Cotoneaster,Rosaceae,Rosales
343,Babiana,Iridaceae,Asparagales
344,Lippia,Verbenaceae,Lamiales
345,Ceropegia,Apocynaceae,Gentianales
346,Dicliptera,Acanthaceae,Lamiales
347,Mouriri,Melastomataceae,Myrtales
348,Eucalyptus,Myrtaceae,Myrtales
349,Alstonia,Apocynaceae,Gentianales
350,Pehria,Lythraceae,Myrtales
351,Mezoneuron,Fabaceae,Fabales
352,Pallavicinia,Pallaviciniaceae,Pallaviciniales
353,Cadaba,Capparaceae,Brassicales
354,Lygodesmia,Asteraceae,Asterales
355,Lilium,Liliaceae,Liliales
356,Psychotria,Rubiaceae,Gentianales
357,Thermopsis,Fabaceae,Fabales
358,Calanthe,Orchidaceae,Asparagales
359,Amomum,Zingiberaceae,Zingiberales
360,Calectasia,Dasypogonaceae,Arecales
361,Plinia,Myrtaceae,Myrtales
362,Gastrodia,Orchidaceae,Asparagales
363,Eleocharis,Cyperaceae,Poales
364,Cylindropuntia,Cactaceae,Caryophyllales
365,Aerides,Orchidaceae,Asparagales
366,Daviesia,Fabaceae,Fabales
367,Sida,Malvaceae,Malvales
368,Dendropanax,Araliaceae,Apiales
369,Phlox,Polemoniaceae,Ericales
370,Blepharizonia,Asteraceae,Asterales
371,Croton,Euphorbiaceae,Malpighiales
372,Arabis,Brassicaceae,Brassicales
373,Erica,Ericaceae,Ericales
374,Pimelea,Thymelaeaceae,Malvales
375,Staphylea,Staphyleaceae,Crossosomatales
376,Pouteria,Sapotaceae,Ericales
377,Hibiscus,Malvaceae,Malvales
378,Axonopus,Poaceae,Poales
379,Kniphofia,Asphodelaceae,Asparagales
380,Senegalia,Fabaceae,Fabales
381,Silene,Caryophyllaceae,Caryophyllales
382,Strychnos,Loganiaceae,Gentianales
383,Tamarix,Tamaricaceae,Caryophyllales
384,Dombeya,Malvaceae,Malvales
385,Vangueria,Rubiaceae,Gentianales
386,Virola,Myristicaceae,Magnoliales
387,Vaccinium,Ericaceae,Ericales
388,Chionanthus,Oleaceae,Lamiales
389,Tinantia,Commelinaceae,Commelinales
390,Haumania,Marantaceae,Zingiberales
391,Sideroxylon,Sapotaceae,Ericales
392,Drosera,Droseraceae,Caryophyllales
393,Ceriscoides,Rubiaceae,Gentianales
394,Aphelandra,Acanthaceae,Lamiales
395,Piper,Piperaceae,Piperales
396,Poga,Anisophylleaceae,Cucurbitales
397,Rhipsalis,Cactaceae,Caryophyllales
398,Campanula,Campanulaceae,Asterales
399,Xyris,Xyridaceae,Poales
400,Rhynchospora,Cyperaceae,Poales
401,Downingia,Campanulaceae,Asterales
402,Tradescantia,Commelinaceae,Commelinales
403,Crataegus,Rosaceae,Rosales
404,Cuphea,Lythraceae,Myrtales
405,Brasiliocroton,Euphorbiaceae,Malpighiales
406,Corydalis,Papaveraceae,Ranunculales
407,Jatropha,Euphorbiaceae,Malpighiales
408,Rhododendron,Ericaceae,Ericales
409,Rhododendron,Ericaceae,Ericales
410,Bambusa,Poaceae,Poales
411,Rinorea,Violaceae,Malpighiales
412,Campanula,Campanulaceae,Asterales
413,Strychnos,Loganiaceae,Gentianales
414,Ficus,Moraceae,Rosales
415,Selaginella,Selaginellaceae,Selaginellales
416,Trifolium,Fabaceae,Fabales
417,Frangula,Rhamnaceae,Rosales
418,Aster,Asteraceae,Asterales
419,Lippia,Verbenaceae,Lamiales
420,Parnassia,Celastraceae,Celastrales
421,Myrcia,Myrtaceae,Myrtales
422,Hibbertia,Dilleniaceae,Dilleniales
423,Symplocos,Symplocaceae,Ericales
424,Piptocarpha,Asteraceae,Asterales
425,Thalictrum,Ranunculaceae,Ranunculales
426,Chionanthus,Oleaceae,Lamiales
427,Boronia,Rutaceae,Sapindales
428,Calyptrocarya,Cyperaceae,Poales
429,Prosthechea,Orchidaceae,Asparagales
430,Androsace,Primulaceae,Ericales
431,Torenia,Linderniaceae,Lamiales
432,Carex,Cyperaceae,Poales
433,Aglaia,Meliaceae,Sapindales
434,Tetracera,Dilleniaceae,Dilleniales
435,Diospyros,Ebenaceae,Ericales
436,Cavendishia,Ericaceae,Ericales
437,nan,nan,nan
438,Pitcairnia,Bromeliaceae,Poales
439,Erythrina,Fabaceae,Fabales
440,Millettia,Fabaceae,Fabales
441,Lippia,Verbenaceae,Lamiales
442,Merianthera,Melastomataceae,Myrtales
443,Actinotus,Apiaceae,Apiales
444,Myrcia,Myrtaceae,Myrtales
445,Ruschiella,Aizoaceae,Caryophyllales
446,Quetzalia,Celastraceae,Celastrales
447,Eragrostis,Poaceae,Poales
448,Castanopsis,Fagaceae,Fagales
449,Hymenaea,Fabaceae,Fabales
450,Piper,Piperaceae,Piperales
451,Ocimum,Lamiaceae,Lamiales
452,Clusia,Clusiaceae,Malpighiales
453,Santalum,Santalaceae,Santalales
454,Calliandra,Fabaceae,Fabales
455,Anelsonia,Brassicaceae,Brassicales
456,Solanum,Solanaceae,Solanales
457,Synotis,Asteraceae,Asterales
458,Chascanum,Verbenaceae,Lamiales
459,Sphagnum,Sphagnaceae,Sphagnales
460,Atriplex,Amaranthaceae,Caryophyllales
461,Taeniophyllum,Orchidaceae,Asparagales
462,Canarium,Burseraceae,Sapindales
463,Hymenostegia,Fabaceae,Fabales
464,Adelphia,Malpighiaceae,Malpighiales
465,Pouteria,Sapotaceae,Ericales
466,Citrus,Rutaceae,Sapindales
467,Tillandsia,Bromeliaceae,Poales
468,Asplenium,Aspleniaceae,Polypodiales
469,Verticordia,Myrtaceae,Myrtales
470,Azorella,Apiaceae,Apiales
471,Paspalum,Poaceae,Poales
472,Phyllanthus,Phyllanthaceae,Malpighiales
473,Anthurium,Araceae,Alismatales
474,Seriphidium,Asteraceae,Asterales
475,Arenga,Arecaceae,Arecales
476,Scleromitrion,Rubiaceae,Gentianales
477,Elaphoglossum,Dryopteridaceae,Polypodiales
478,Solidago,Asteraceae,Asterales
479,Aegiphila,Lamiaceae,Lamiales
480,Crocus,Iridaceae,Asparagales
481,Saussurea,Asteraceae,Asterales
482,Machaerium,Fabaceae,Fabales
483,Elaeagnus,Elaeagnaceae,Rosales
484,Romulea,Iridaceae,Asparagales
485,Poa,Poaceae,Poales
486,Sageretia,Rhamnaceae,Rosales
487,Ixia,Iridaceae,Asparagales
488,Saxifraga,Saxifragaceae,Saxifragales
489,Fagus,Fagaceae,Fagales
490,Veronica,Plantaginaceae,Lamiales
491,Polystachya,Orchidaceae,Asparagales
492,Calliandra,Fabaceae,Fabales
493,Fevillea,Cucurbitaceae,Cucurbitales
494,Dichelyma,Fontinalaceae,Hypnales
495,Cystostemon,Boraginaceae,Boraginales
496,Maxillaria,Orchidaceae,Asparagales
497,Platea,Metteniusaceae,Metteniusales
498,Dioscorea,Dioscoreaceae,Dioscoreales
499,Mimosa,Fabaceae,Fabales
500,Geissorhiza,Iridaceae,Asparagales
501,Nepeta,Lamiaceae,Lamiales
502,Philodendron,Araceae,Alismatales
503,Caladenia,Orchidaceae,Asparagales
504,Spermolepis,Apiaceae,Apiales
505,Bambusa,Poaceae,Poales
506,Eriogonum,Polygonaceae,Caryophyllales
507,Helichrysum,Asteraceae,Asterales
508,Crotalaria,Fabaceae,Fabales
509,Terminalia,Combretaceae,Myrtales
510,Lupinus,Fabaceae,Fabales
511,Thalictrum,Ranunculaceae,Ranunculales
512,Vicia,Fabaceae,Fabales
513,Combretum,Combretaceae,Myrtales
514,Coprosma,Rubiaceae,Gentianales
515,Guettarda,Rubiaceae,Gentianales
516,Zamia,Zamiaceae,Cycadales
517,Proboscidea,Martyniaceae,Lamiales
518,Cypella,Iridaceae,Asparagales
519,Metalasia,Asteraceae,Asterales
520,Soehrensia,Cactaceae,Caryophyllales
521,Bothriocline,Asteraceae,Asterales
522,Aspilia,Asteraceae,Asterales
523,Ailanthus,Simaroubaceae,Sapindales
524,Spiranthera,Rutaceae,Sapindales
525,Sedum,Crassulaceae,Saxifragales
526,Rhododendron,Ericaceae,Ericales
527,Castanopsis,Fagaceae,Fagales
528,Bertiera,Rubiaceae,Gentianales
529,Rosa,Rosaceae,Rosales
530,Acer,Sapindaceae,Sapindales
531,Agrimonia,Rosaceae,Rosales
532,Senecio,Asteraceae,Asterales
533,Cornus,Cornaceae,Cornales
534,Euphorbia,Euphorbiaceae,Malpighiales
535,Parathesis,Primulaceae,Ericales
536,Couratari,Lecythidaceae,Ericales
537,Gunnera,Gunneraceae,Gunnerales
538,Globimetula,Loranthaceae,Santalales
539,Gleditsia,Fabaceae,Fabales
540,Magnolia,Magnoliaceae,Magnoliales
541,Aiouea,Lauraceae,Laurales
542,Philodendron,Araceae,Alismatales
543,Salix,Salicaceae,Malpighiales
544,Thalictrum,Ranunculaceae,Ranunculales
545,Aloe,Asphodelaceae,Asparagales
546,Hampea,Malvaceae,Malvales
547,Zanthoxylum,Rutaceae,Sapindales
548,Inga,Fabaceae,Fabales
549,Lindera,Lauraceae,Laurales
550,Streptocarpus,Gesneriaceae,Lamiales
551,Boechera,Brassicaceae,Brassicales
552,Fuirena,Cyperaceae,Poales
553,Ixia,Iridaceae,Asparagales
554,Boehmeria,Urticaceae,Rosales
555,Nabalus,Asteraceae,Asterales
556,Cliffortia,Rosaceae,Rosales
557,Hyptis,Lamiaceae,Lamiales
558,Brunellia,Brunelliaceae,Oxalidales
559,Croton,Euphorbiaceae,Malpighiales
560,Jasminum,Oleaceae,Lamiales
561,Helicteres,Malvaceae,Malvales
562,Jatropha,Euphorbiaceae,Malpighiales
563,Baccharis,Asteraceae,Asterales
564,Aquilegia,Ranunculaceae,Ranunculales
565,Cynometra,Fabaceae,Fabales
566,Elatostema,Urticaceae,Rosales
567,Orchis,Orchidaceae,Asparagales
568,Schoenobiblus,Thymelaeaceae,Malvales
569,Ditrichum,Ditrichaceae,Dicranales
570,Beckmannia,Poaceae,Poales
571,Ranunculus,Ranunculaceae,Ranunculales
572,Selaginella,Selaginellaceae,Selaginellales
573,Anthurium,Araceae,Alismatales
574,Primula,Primulaceae,Ericales
575,Ainsliaea,Asteraceae,Asterales
576,Potentilla,Rosaceae,Rosales
577,Daviesia,Fabaceae,Fabales
578,Anginon,Apiaceae,Apiales
579,Erythrina,Fabaceae,Fabales
580,Brassaiopsis,Araliaceae,Apiales
581,Gymnocarpium,Cystopteridaceae,Polypodiales
582,Spiraea,Rosaceae,Rosales
583,Arberella,Poaceae,Poales
584,Wrightia,Apocynaceae,Gentianales
585,Aptandra,Olacaceae,Santalales
586,Epipremnum,Araceae,Alismatales
587,Mikania,Asteraceae,Asterales
588,Solanum,Solanaceae,Solanales
589,Calceolaria,Calceolariaceae,Lamiales
590,Pleiotaxis,Asteraceae,Asterales
591,Pentanopsis,Rubiaceae,Gentianales
592,Hakea,Proteaceae,Proteales
593,Gerardiina,Orobanchaceae,Lamiales
594,Scleria,Cyperaceae,Poales
595,Cheirodendron,Araliaceae,Apiales
596,Allium,Amaryllidaceae,Asparagales
597,Ulmus,Ulmaceae,Rosales
598,Miconia,Melastomataceae,Myrtales
599,Quesnelia,Bromeliaceae,Poales
600,Tillandsia,Bromeliaceae,Poales
601,Philodendron,Araceae,Alismatales
602,Draba,Brassicaceae,Brassicales
603,Cordia,Boraginaceae,Boraginales
604,Melhania,Malvaceae,Malvales
605,Senecio,Asteraceae,Asterales
606,Dalbergia,Fabaceae,Fabales
607,Oxalis,Oxalidaceae,Oxalidales
608,Alnus,Betulaceae,Fagales
609,Copaifera,Fabaceae,Fabales
610,Rinzia,Myrtaceae,Myrtales
611,Lasiocaryum,Boraginaceae,Boraginales
612,Rhaptopetalum,Lecythidaceae,Ericales
613,Wolffia,Araceae,Alismatales
614,Diospyros,Ebenaceae,Ericales
615,Bulbine,Asphodelaceae,Asparagales
616,Plagiostachys,Zingiberaceae,Zingiberales
617,Telmatoblechnum,Blechnaceae,Polypodiales
618,Caladenia,Orchidaceae,Asparagales
619,Musa,Musaceae,Zingiberales
620,Anacamptis,Orchidaceae,Asparagales
621,Passiflora,Passifloraceae,Malpighiales
622,Olax,Olacaceae,Santalales
623,Ammannia,Lythraceae,Myrtales
624,Pyrostria,Rubiaceae,Gentianales
625,Gunillaea,Campanulaceae,Asterales
626,Euphorbia,Euphorbiaceae,Malpighiales
627,Kalmia,Ericaceae,Ericales
628,Gynura,Asteraceae,Asterales
629,Solms-laubachia,Brassicaceae,Brassicales
630,Eragrostis,Poaceae,Poales
631,Fraxinus,Oleaceae,Lamiales
632,Grevillea,Proteaceae,Proteales
633,Acalypha,Euphorbiaceae,Malpighiales
634,Synaphea,Proteaceae,Proteales
635,Symphyotrichum,Asteraceae,Asterales
636,Pediomelum,Fabaceae,Fabales
637,Streptanthus,Brassicaceae,Brassicales
638,Elsholtzia,Lamiaceae,Lamiales
639,Eriobotrya,Rosaceae,Rosales
640,Ruschia,Aizoaceae,Caryophyllales
641,Peperomia,Piperaceae,Piperales
642,Pelargonium,Geraniaceae,Geraniales
643,Hirtella,Chrysobalanaceae,Malpighiales
644,Metagentiana,Gentianaceae,Gentianales
645,Bergenia,Saxifragaceae,Saxifragales
646,Quercus,Fagaceae,Fagales
