iter,test_err
186,0.904479
187,0.908059
188,0.915842
189,0.914088
190,0.917505
191,0.920834
192,0.916989
193,0.909782
194,0.913465
195,0.914388
196,0.914456
197,0.915795
198,0.91993
199,0.910321
200,0.912176
201,0.910841
202,0.914704
203,0.914358
204,0.911136
205,0.913524
206,0.918686
207,0.918002
208,0.911651
209,0.913874
210,0.920271
211,0.915647
212,0.916746
213,0.916487
214,0.91492
215,0.921703
216,0.917758
217,0.923845
218,0.916855
219,0.916801
220,0.922969
221,0.921874
222,0.920433
223,0.921184
224,0.91886
225,0.917773
226,0.913862
227,0.922461
228,0.920012
229,0.91526
230,0.917203
231,0.926094
232,0.918005
233,0.917336
234,0.920317
235,0.920382
236,0.908649
237,0.912919
238,0.914772
239,0.921023
240,0.920422
241,0.918048
242,0.915439
243,0.918497
244,0.914138
245,0.92142
246,0.923772
247,0.916697
248,0.912384
249,0.916388
250,0.912574
251,0.92368
252,0.917939
253,0.919015
254,0.911407
255,0.91248
256,0.9207
257,0.916795
258,0.922155
259,0.913968
260,0.915156
261,0.917822
262,0.907361
263,0.918914
264,0.917916
265,0.919738
266,0.914033
267,0.918944
268,0.9207
269,0.91997
270,0.918107
271,0.919466
272,0.919708
273,0.916237
274,0.916526
275,0.921793
276,0.918438
277,0.921965
278,0.921194
279,0.920696
280,0.915096
281,0.915552
282,0.918235
283,0.923685
284,0.922561
285,0.924643
286,0.925447
287,0.92557
288,0.922249
289,0.918558
290,0.927912
291,0.926879
292,0.924075
293,0.929832
294,0.924153
295,0.92975
296,0.92982
297,0.920079
298,0.931539
299,0.918688
300,0.919788
301,0.920947
302,0.924767
303,0.925134
304,0.925087
305,0.920376
306,0.919896
307,0.91941
308,0.919377
309,0.922282
310,0.922828
311,0.925164
312,0.919179
313,0.91814
314,0.925739
315,0.922642
316,0.923193
317,0.92776
318,0.924504
319,0.924769
320,0.924834
321,0.924944
322,0.927866
323,0.928942
324,0.931313
325,0.92847
326,0.938913
327,0.932619
328,0.939031
329,0.934043
330,0.926871
331,0.929696
332,0.93055
333,0.933784
334,0.927915
335,0.925113
336,0.929968
337,0.925787
338,0.925063
339,0.92475
340,0.925138
341,0.929989
342,0.92728
343,0.924261
344,0.930957
345,0.92627
346,0.930122
347,0.928385
348,0.926225
349,0.930009
350,0.925447
351,0.928166
352,0.917244
353,0.926694
354,0.928662
355,0.924802
356,0.921969
357,0.923313
358,0.929432
359,0.924116
360,0.926837
361,0.923784
362,0.92788
363,0.929685
364,0.931975
365,0.932127
366,0.934711
367,0.930224
368,0.919558
369,0.927299
370,0.932034
371,0.929028
372,0.926813
373,0.926391
374,0.928713
375,0.933113
376,0.929926
377,0.932465
378,0.918551
379,0.929973
380,0.924263
381,0.914729
382,0.911475
383,0.925032
384,0.925613
385,0.929821
386,0.925928
387,0.922163
388,0.928323
389,0.923226
390,0.929228
391,0.929418
392,0.92899
393,0.929152
394,0.932611
395,0.933762
396,0.932026
397,0.928991
398,0.932664
399,0.934977
400,0.929353
401,0.925089
402,0.926292
403,0.934687
404,0.935087
405,0.935514
406,0.940132
407,0.935677
408,0.938349
409,0.936947
410,0.933562
411,0.932427
412,0.934548
413,0.932984
414,0.926455
415,0.930265
416,0.931428
417,0.940312
418,0.938138
419,0.941156
420,0.939434
421,0.937048
422,0.931563
423,0.935832
424,0.931542
425,0.937211
426,0.93172
427,0.921989
428,0.93857
429,0.930234
430,0.93188
431,0.933376
432,0.934242
433,0.931629
434,0.939535
435,0.943035
436,0.934648
437,0.931716
438,0.940943
439,0.932801
440,0.933292
441,0.935596
442,0.932822
443,0.935764
444,0.926442
445,0.935785
446,0.932063
447,0.930119
448,0.933032
449,0.932051
450,0.939601
451,0.932868
452,0.933516
453,0.93857
454,0.934315
455,0.934858
456,0.935809
457,0.936711
458,0.928167
459,0.93529
460,0.933558
461,0.931539
462,0.934776
463,0.93452
464,0.936361
465,0.928647
466,0.929768
467,0.924708
468,0.924587
469,0.932158
470,0.924763
471,0.930992
472,0.92764
473,0.934176
474,0.932717
475,0.93084
476,0.936215
477,0.931128
478,0.924739
479,0.939557
480,0.934648
481,0.927149
482,0.938879
483,0.936477
484,0.932176
485,0.935351
486,0.940939
487,0.929688
488,0.933977
489,0.937136
490,0.931515
491,0.933527
492,0.931744
493,0.931428
494,0.935426
495,0.930555
496,0.931972
497,0.937705
498,0.932669
499,0.929494
500,0.930789
501,0.931057
502,0.932866
503,0.938279
504,0.934238
505,0.931458
506,0.927602
507,0.940281
508,0.93821
509,0.938446
510,0.940876
511,0.94016
512,0.937693
513,0.941691
514,0.932414
515,0.932203
516,0.935977
517,0.938275
518,0.938531
519,0.937029
520,0.94264
521,0.93247
522,0.936866
523,0.938132
524,0.931013
525,0.94078
526,0.931476
527,0.935785
528,0.941174
529,0.93664
530,0.934279
531,0.934706
532,0.935453
533,0.936914
534,0.940115
535,0.941572
536,0.945278
537,0.943084
538,0.939298
539,0.948217
540,0.934909
541,0.92635
542,0.932494
543,0.93414
544,0.936075
545,0.925674
546,0.92736
547,0.930274
548,0.936347
549,0.93985
550,0.938869
551,0.931525
552,0.937347
553,0.946594
554,0.944131
555,0.943669
556,0.938099
557,0.938446
558,0.938439
559,0.939646
560,0.942895
561,0.943942
562,0.946423
563,0.942958
564,0.941358
565,0.94127
566,0.943867
567,0.937002
568,0.94264
569,0.946685
570,0.944649
571,0.945917
572,0.940366
573,0.948205
574,0.954431
575,0.947244
576,0.948767
577,0.946849
578,0.945016
579,0.944506
580,0.940818
581,0.949665
582,0.948926
583,0.948781
584,0.947886
585,0.951678
586,0.9457
587,0.949824
588,0.943285
589,0.944501
590,0.944751
591,0.943481
592,0.947578
593,0.952186
594,0.957808
595,0.95175
596,0.950702
597,0.95581
598,0.95217
599,0.95382
600,0.944365
601,0.947816
602,0.947652
603,0.952324
604,0.954214
605,0.953199
606,0.955835
607,0.953053
608,0.949159
609,0.948475
610,0.949257
611,0.951167
612,0.949055
613,0.94548
614,0.941498
615,0.945996
616,0.950316
617,0.949187
618,0.950164
619,0.951518
620,0.946546
621,0.951235
622,0.946109
623,0.947996
624,0.945093
625,0.94645
626,0.957496
627,0.950474
628,0.951049
629,0.955078
630,0.952625
631,0.952174
632,0.948995
633,0.955222
634,0.951107
635,0.949733
636,0.952236
637,0.950885
638,0.951901
639,0.947742
640,0.947753
641,0.950446
642,0.954067
643,0.950924
644,0.957883
645,0.957153
646,0.95801
647,0.956245
648,0.957809
649,0.957479
650,0.956614
651,0.955586
652,0.953835
653,0.955999
654,0.954462
655,0.960832
656,0.962971
657,0.956775
658,0.959448
659,0.958705
660,0.960791
661,0.956578
662,0.954682
663,0.957323
664,0.957265
665,0.951137
666,0.956973
667,0.949041
668,0.954809
669,0.948104
670,0.949328
671,0.956956
672,0.952189
673,0.953201
674,0.94684
675,0.952418
676,0.945015
677,0.94805
678,0.951353
679,0.954361
680,0.948723
681,0.952373
682,0.954476
683,0.95401
684,0.954795
685,0.955323
686,0.950473
687,0.951286
688,0.951956
689,0.953374
690,0.951761
691,0.9603
692,0.958112
693,0.958122
694,0.955612
695,0.955328
696,0.961517
697,0.959875
698,0.949886
699,0.954446
700,0.954301
701,0.954172
702,0.954699
703,0.952587
704,0.955562
705,0.944303
706,0.953563
707,0.951986
708,0.947319
709,0.942395
710,0.946467
711,0.947915
712,0.946108
713,0.944737
714,0.94397
715,0.945531
716,0.941453
717,0.939969
718,0.944329
719,0.942679
720,0.948304
721,0.952845
722,0.939786
723,0.94268
724,0.947362
725,0.93981
726,0.939957
727,0.93666
728,0.937526
729,0.937072
730,0.937468
731,0.935381
732,0.941547
733,0.939757
734,0.936322
735,0.936369
736,0.934179
737,0.939771
738,0.940767
739,0.935808
740,0.936458
741,0.931584
742,0.934315
743,0.937132
744,0.942155
745,0.93803
746,0.9383
747,0.939637
748,0.941553
749,0.94359
750,0.947573
751,0.944504
752,0.9477
753,0.94409
754,0.942221
755,0.944735
756,0.950322
757,0.943821
758,0.946972
759,0.947525
760,0.940991
761,0.94801
762,0.942643
763,0.938888
764,0.940107
765,0.939703
766,0.937291
767,0.939445
768,0.94691
769,0.941036
770,0.944536
771,0.942732
772,0.938149
773,0.940111
774,0.939655
775,0.942519
776,0.939456
777,0.937561
778,0.946458
779,0.936251
780,0.935369
781,0.935015
782,0.934609
783,0.929699
784,0.942438
785,0.933647
786,0.94654
787,0.936284
788,0.94047
789,0.936475
790,0.940787
791,0.935263
792,0.936937
793,0.940303
794,0.94551
795,0.944162
796,0.940141
797,0.943369
798,0.948471
799,0.939645
800,0.938936
801,0.938786
802,0.938085
803,0.933736
804,0.938527
805,0.949312
806,0.943828
807,0.935822
808,0.941433
809,0.946617
810,0.941968
811,0.947013
812,0.937977
813,0.948941
814,0.941087
815,0.936719
816,0.935324
817,0.937899
818,0.937472
819,0.93988
820,0.94168
821,0.942055
822,0.94068
823,0.940997
824,0.943071
825,0.94212
826,0.936361
827,0.941568
828,0.940596
829,0.944048
830,0.944798
831,0.936845
832,0.936877
833,0.931704
834,0.938803
835,0.936817
836,0.937852
837,0.932494
838,0.938712
839,0.938338
840,0.935535
841,0.934174
842,0.94902
843,0.947307
844,0.940796
845,0.944517
846,0.941264
847,0.950007
848,0.941494
849,0.941992
850,0.942276
851,0.942297
852,0.945815
853,0.945913
854,0.946288
855,0.947158
856,0.947933
857,0.946574
858,0.942033
859,0.946751
860,0.950849
861,0.948335
862,0.942135
863,0.95095
864,0.955772
865,0.948034
866,0.948664
867,0.945688
868,0.93891
869,0.945414
870,0.95087
871,0.953683
872,0.951766
873,0.951064
874,0.951303
875,0.950685
876,0.947135
877,0.944932
878,0.944286
879,0.947316
880,0.943438
881,0.948452
882,0.945348
883,0.946824
884,0.948885
885,0.943371
886,0.944739
887,0.946734
888,0.94372
889,0.948964
890,0.939955
891,0.941225
892,0.942302
893,0.943365
894,0.949604
895,0.953602
896,0.95114
897,0.948752
898,0.943591
899,0.943793
900,0.945766
901,0.949655
902,0.95748
903,0.957581
904,0.949751
905,0.94982
906,0.947656
907,0.956647
908,0.949118
909,0.949776
910,0.954839
911,0.954839
912,0.951898
913,0.951001
914,0.960537
915,0.953269
916,0.956174
917,0.954299
918,0.95631
919,0.957672
920,0.952828
921,0.953262
922,0.963522
923,0.959948
924,0.953569
925,0.955777
926,0.957546
927,0.958151
928,0.955613
929,0.956487
930,0.951459
931,0.959345
932,0.952575
933,0.964793
934,0.953663
935,0.961766
936,0.955296
937,0.957984
938,0.966995
939,0.971171
940,0.958008
941,0.9597
942,0.962034
943,0.959577
944,0.955862
945,0.956404
946,0.951964
947,0.952311
948,0.960772
949,0.966666
950,0.967268
951,0.962634
952,0.960392
953,0.957521
954,0.954061
955,0.957012
956,0.944965
957,0.952075
958,0.9537
959,0.956763
960,0.960861
961,0.967224
962,0.96157
963,0.963476
964,0.963158
965,0.966683
966,0.973115
967,0.967539
968,0.964873
969,0.969787
970,0.965743
971,0.966293
972,0.960084
973,0.964052
974,0.965628
975,0.96326
976,0.966447
977,0.957567
978,0.960301
979,0.968081
980,0.962062
981,0.957393
982,0.954067
983,0.952605
984,0.95023
985,0.960105
986,0.954979
987,0.953649
988,0.956393
989,0.964907
990,0.960256
991,0.959131
992,0.955627
993,0.959791
994,0.957695
995,0.965157
996,0.963249
997,0.959248
998,0.963897
999,0.964769
